,id,src,trg
0,10001,This success makes every Indian swell with pride.,প্রত্যেক ভারতীয়কে এই সাফল্য গর্বিত করেছে।
1,10002,Ill be back after a months wait and meet you again.,এক মাস অপেক্ষার পর আবার আসবো।
2,10003,Teams from all over the world came to India and all of them exhibited their skills on the football field.,বিশ্বের নানা দেশের টিম এতে অংশগ্রহণ করতে ভারতে এসেছে এবংতাদের ক্রীড়াকৌশল আমাদের মুগ্ধ করেছে।
3,10004,"In todays Mann Ki Baat, I want to talk about another important work of revered Bapu which maximum countrymen should know.",আজকের ‘মন কি বাত’ অনুষ্ঠানে আমি আপনাদের সঙ্গে পূজনীয় বাপুজীর আরও এক মহৎ কাজ নিয়ে আলোচনা করতে চাই — যা সমস্ত দেশবাসীরই জানা দরকার।
4,10005,"Subhasini Mistri is a woman who, in order to construct a hospital, cleaned utensils in the homes of others and also sold vegetables.","সুভাষিণী মিস্ত্রি এমন এক মহিলা যিনি হাসপাতাল তৈরির জন্য অন্য লোকের বাড়িতে বাসন মেজেছেন, সবজি বিক্রি করেছেন|"
5,10006,"I had the opportunity to meet some young daughters, some of who, were born in the Himalayas, who had absolutely no connection with the sea.",খুব কম বয়সের কিছু মেয়ের সঙ্গে সাক্ষাতের সুযোগ হয় আমার আর তাদের মধ্যে কয়েকজনের তো হিমালয়ের কোলে জন্ম হয়েছে। সমুদ্রের সঙ্গে যাঁদের কোনোদিনই সংযোগ ছিল না।
6,10007,"After a gap of 15 years, there was good news, in fact grand news from the hockey arena too.",হকিতেও ১৫ বছর পরে খুব ভালো খবর পাওয়া গেছে।
7,10008,I am thankful to Bhai Prakash ji for beginning his long letter with the sad departure of Kalpana Chawla.,"আমি, ভাই প্রকাশজিকে নিজের দীর্ঘ চিঠিটি কল্পনা চাওলার চির বিদায়ের ঘটনা দিয়ে শুরু করার জন্য কৃতজ্ঞতা জানাচ্ছি|"
8,10009,It is celebrated in different states in different forms.,"বিভিন্ন রাজ্যে, বিভিন্ন নামে এই উৎসব পালিত হয়।"
9,10010,Many good wishes to all of you for the year 2019.,আপনাদের সবাইকে ২০১৯-এর অনেক অনেক শুভেচ্ছা!
10,10011,"You all must be aware that the government has started a website,transforming india.","হয়তো আপনারা জানেন, এই কারণে সরকারী তরফে একটি ওয়েবসাইট খোলা হয়েছে – ট্রান্সফর্মিং ইণ্ডিয়া – এই ওয়েবসাইট-এ আশাব্যঞ্জক খবর প্রকাশ করা হয়।"
11,10012,"Can anyone imagine the level of risk, which the aware citizen of my country is taking to expose such elements","কেউ কি কল্পনা করতে পারেন, আমাদের দেশের সচেতন নাগরিক এঁদের মুখোশ খোলার জন্য কতটা ঝুঁকি নিচ্ছেন?"
12,10013,"My dear brothers and sisters, when I was going through your suggestion for Mann Ki Baat this time, I found a very interesting comment from Shri Manish Mahapatra from Pudducherry.","আমার প্রিয় ভাই-বোনেরা, এইবার যখন আমি ‘মন কি বাত’ নিয়ে আপনাদের প্রস্তাবগুলো দেখছিলাম, তখন আমার পুদুচেরির শ্রী মণীশ মহাপাত্রর একটি খুব রোমাঞ্চকর মন্তব্য দেখার সুযোগ মেলে।"
13,10014,"Similarly, I met a small girl named, Sonam Patel.",এরকমই একজন সোনম্‌প্যাটেল নামে এক ছোটো বালিকার সঙ্গে সাক্ষাৎ হয়েছে।
14,10015,"The way Yoga was received and was welcomed with open arms around the world, there would not be any Indian who would not be proud of it.",যোগকে যেভাবে বিশ্বের লোকেরা সম্মানিত করেছেন এবং আত্মস্থ করেছেন তা প্রত্যেক ভারতবাসীর কাছেই গর্বের বিষয়।
15,10016,Vikas Thakur demonstrated his heroics by contributing one thousand rupees each from his pocket to the 57 families and thus strengthening the Cleanliness Campaign.,” বিকাশ ঠাকুর করেদেখিয়েছেন। ৫৭টি পরিবারকে নিজের পকেট থেকে এক-এক হাজার করে টাকা দিয়ে স্বচ্ছতাঅভিযানকে শক্তি যুগিয়েছেন।
16,10017,In many regions the position of the planetary constellations determines the occurrence and celebration of festivals.,"অনেক জায়গায় গ্রহ-নক্ষত্রের অবস্থানের ওপরই পরব, উৎসবের দিন নির্ধারিত হয়।"
17,10018,"In the next two months, we will be busy in the hurly-burly of the general elections.",আগামী দু’মাস আমরা নির্বাচন নিয়ে বিভিন্নভাবে ব্যস্ত থাকব।
