,id,src,trg
0,10001,मुझे उम्मीद है कि विदेशों से आए प्रतिनिधियों के पास दिल्ली के इतिहास और गौरव को देखने के लिए कुछ समय मिलेगा।,"এই অনুষ্ঠানের পাশাপাশি আমি আশা করি, বিদেশ থেকে আগত আমাদের সঙ্গে সামিল অতিথি ও প্রতিনিধিরা দিল্লির ইতিহাস ও জাঁকজমকপূর্ণ কিছু নিদর্শন দেখারও সময় পাবেন।"
1,10002,हमें विश्व पर्यावरण दिवस 2018 के लिए वैश्विक मेजबान बनने का गर्व है।,বিশ্ব পরিবেশ দিবস ২০১৮’র আয়োজক দেশ হিসাবে আমরা গর্বিত।
2,10003,हम वह करने के लिए संकल्पबद्ध हैं जो सतत् औऱ हरित है।,সুস্থায়ী ও প্রকৃতির সঙ্গে সহাবস্থানে এই মানোন্নয়নে আমরা বদ্ধপরিকর।
3,10004,इससे ग्रामीण महिलाओं को जहरीले धुएं की त्रासदी से मुक्ति मिली है।,বিষাক্ত ধোঁয়ার কবল থেকে এই রান্নার গ্যাস সংযোগ গ্রামীণ মহিলাদের মুক্তি দিয়েছে।
4,10005,हम नवीकरणीय ऊर्जा उत्पादन की दिशा में तेजी से आगे बढ़ रहे हैं।,পুনর্নবীকরণযোগ্য শক্তি উৎপাদনের এক উচ্চাকাঙ্খী লক্ষ্য পূরণে আমরা কাজ করছি।
5,10006,हम पहले से ही विश्‍व में सौर-ऊर्जा के पांचवें सबसे बड़े उत्‍पादक है।,আমরা এখন বিশ্বের পঞ্চম বৃহত্তম সৌরশক্তি উৎপাদক দেশ।
6,10007,इतना ही नहीं हम नवीकरणीय ऊर्जा उत्पादन करने वाला छठां सबसे बड़ा देश है।,"শুধু তাই নয়, পুনর্নবীকরণযোগ্য জ্বালানি ক্ষেত্রেও আমরা বর্তমানেবিশ্বের ষষ্ঠ বৃহত্তম উৎপাদক দেশের সম্মান অর্জন করেছি।"
7,10008,हम युवा देश हैं।,আপনারা জানেন যে ভারত হলএক নবীন জাতি।
8,10009,हमारे पेड़ और वन पिछले 2 वर्षों में एक प्रतिशत बढ़े हैं।,আমাদের বনাঞ্চল ও বৃক্ষশোভিত এলাকার পরিমাণ বিগত দু’বছরে ১ শতাংশ বেড়েছে।
9,10010,हमने वन्यजीव संरक्षण के क्षेत्र में अच्छा काम किया है।,বন্যপ্রাণ সংরক্ষণ ক্ষেত্রেও আমরা ভালো সাফল্য পেয়েছি।
10,10011,कृषि के लिए जल की निरंतर उपलब्धता महत्वपूर्ण है।,সেই কারণে কৃষিকাজে জলের অব্যাহত যোগানের বিষয়টি খুবই গুরুত্বপূর্ণ।
11,10012,"हमारा नारा है अधिक फसल, प्रतिबूंद।",আমাদের মূল মন্ত্রই হল ‘জলবিন্দু প্রতিঅধিকতর শস্য ফলন’।
12,10013,इस वर्ष विश्व पर्यावरण दिवस एक बहुत ही महत्वपूर्ण चुनौती का समाधान करना चाहता है।,এ বছর বিশ্ব পরিবেশ দিবসে একটি অত্যন্ত জটিল চ্যালেঞ্জের সমাধানের কথা বলা হয়েছে।
13,10014,प्लास्टिक अब मानवता के लिए सबसे बड़ा खतरा बनते जा रहा है।,প্লাস্টিকের বিপদ মানবজাতির কাছে ভীতির কারণ হয়ে উঠেছে।
14,10015,प्लास्टिक प्रदूषण अब हमारी खाद्य श्रृंखला में प्रवेश कर रहा है।,প্লাস্টিক দূষণ আমাদের খাদ্য-শৃঙ্খলেও ছড়িয়ে পড়েছে।
15,10016,"यहां तक कि सूक्ष्म प्लास्टिक अब नमक, बोतलबंद पानी और नल के पानी जैसे हमारे बुनियादी भोजन में प्रवेश कर रहा है।","ঘটনা হ’ল – লবণ, বোতল বন্দী জল ও কলের জলের মতো মৌলিক খাবারের সঙ্গে মাইক্রো প্লাস্টিক জড়িয়ে রয়েছে।"
